Metric,Sample Level,Patient Level
Observations,42.0,20.0
Mean TMB,1.5288601630238097,1.5228988570250002
Median TMB,1.3097070855,1.5150576484166667
Minimum TMB,0.0,0.0
Maximum TMB,5.742430656,5.3322570375
TMB Standard Deviation,1.460685160914527,1.310156420776251
